Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Menores de 25 años;2023T4;25,94
Ambos sexos;Total Nacional;Menores de 25 años;2023T3;29,09
Ambos sexos;Total Nacional;Menores de 25 años;2023T2;26,53
Ambos sexos;Total Nacional;Menores de 25 años;2023T1;24,35
Ambos sexos;Total Nacional;Menores de 25 años;2022T4;24,87
Ambos sexos;Total Nacional;Menores de 25 años;2022T3;27,11
Ambos sexos;Total Nacional;Menores de 25 años;2022T2;26,35
Ambos sexos;Total Nacional;Menores de 25 años;2022T1;24,12
Ambos sexos;Total Nacional;Menores de 25 años;2021T4;23,41
Ambos sexos;Total Nacional;Menores de 25 años;2021T3;26,47
Ambos sexos;Total Nacional;Menores de 25 años;2021T2;22,00
Ambos sexos;Total Nacional;Menores de 25 años;2021T1;19,74
Ambos sexos;Total Nacional;Menores de 25 años;2020T4;19,84
Ambos sexos;Total Nacional;Menores de 25 años;2020T3;21,37
Ambos sexos;Total Nacional;Menores de 25 años;2020T2;18,20
Ambos sexos;Total Nacional;Menores de 25 años;2020T1;23,22
Ambos sexos;Total Nacional;Menores de 25 años;2019T4;24,97
Ambos sexos;Total Nacional;Menores de 25 años;2019T3;27,03
Ambos sexos;Total Nacional;Menores de 25 años;2019T2;24,55
Ambos sexos;Total Nacional;Menores de 25 años;2019T1;22,88
Ambos sexos;Total Nacional;Menores de 25 años;2018T4;24,26
Ambos sexos;Total Nacional;Menores de 25 años;2018T3;26,27
Ambos sexos;Total Nacional;Menores de 25 años;2018T2;24,19
Ambos sexos;Total Nacional;Menores de 25 años;2018T1;22,29
Ambos sexos;Total Nacional;Menores de 25 años;2017T4;23,11
Ambos sexos;Total Nacional;Menores de 25 años;2017T3;25,64
Ambos sexos;Total Nacional;Menores de 25 años;2017T2;22,25
Ambos sexos;Total Nacional;Menores de 25 años;2017T1;20,69
Ambos sexos;Total Nacional;Menores de 25 años;2016T4;20,42
Ambos sexos;Total Nacional;Menores de 25 años;2016T3;22,43
Ambos sexos;Total Nacional;Menores de 25 años;2016T2;19,96
Ambos sexos;Total Nacional;Menores de 25 años;2016T1;19,30
Ambos sexos;Total Nacional;25 y más años;2025T3;56,02
Ambos sexos;Total Nacional;25 y más años;2025T2;56,14
Ambos sexos;Total Nacional;25 y más años;2025T1;55,31
Ambos sexos;Total Nacional;25 y más años;2024T4;55,53
Ambos sexos;Total Nacional;25 y más años;2024T3;55,34
Ambos sexos;Total Nacional;25 y más años;2024T2;55,46
Ambos sexos;Total Nacional;25 y más años;2024T1;54,66
Ambos sexos;Total Nacional;25 y más años;2023T4;55,19
Ambos sexos;Total Nacional;25 y más años;2023T3;55,14
Ambos sexos;Total Nacional;25 y más años;2023T2;55,16
Ambos sexos;Total Nacional;25 y más años;2023T1;53,90
Ambos sexos;Total Nacional;25 y más años;2022T4;54,04
Ambos sexos;Total Nacional;25 y más años;2022T3;54,26
Ambos sexos;Total Nacional;25 y más años;2022T2;54,21
Ambos sexos;Total Nacional;25 y más años;2022T1;53,54
Ambos sexos;Total Nacional;25 y más años;2021T4;53,97
Ambos sexos;Total Nacional;25 y más años;2021T3;53,21
Ambos sexos;Total Nacional;25 y más años;2021T2;52,73
Ambos sexos;Total Nacional;25 y más años;2021T1;51,69
Ambos sexos;Total Nacional;25 y más años;2020T4;52,33
Ambos sexos;Total Nacional;25 y más años;2020T3;51,72
Ambos sexos;Total Nacional;25 y más años;2020T2;50,52
Ambos sexos;Total Nacional;25 y más años;2020T1;53,00
Ambos sexos;Total Nacional;25 y más años;2019T4;53,72
Ambos sexos;Total Nacional;25 y más años;2019T3;53,35
Ambos sexos;Total Nacional;25 y más años;2019T2;53,59
Ambos sexos;Total Nacional;25 y más años;2019T1;52,96
Ambos sexos;Total Nacional;25 y más años;2018T4;53,19
Ambos sexos;Total Nacional;25 y más años;2018T3;52,99
Ambos sexos;Total Nacional;25 y más años;2018T2;52,81
Ambos sexos;Total Nacional;25 y más años;2018T1;51,75
Ambos sexos;Total Nacional;25 y más años;2017T4;52,09
Ambos sexos;Total Nacional;25 y más años;2017T3;52,01
Ambos sexos;Total Nacional;25 y más años;2017T2;51,77
Ambos sexos;Total Nacional;25 y más años;2017T1;50,89
Ambos sexos;Total Nacional;25 y más años;2016T4;51,15
Ambos sexos;Total Nacional;25 y más años;2016T3;51,03
Ambos sexos;Total Nacional;25 y más años;2016T2;50,72
Ambos sexos;Total Nacional;25 y más años;2016T1;50,03
Ambos sexos;01 Andalucía;Total;2025T3;49,02
Ambos sexos;01 Andalucía;Total;2025T2;48,34
Ambos sexos;01 Andalucía;Total;2025T1;47,38
Ambos sexos;01 Andalucía;Total;2024T4;47,67
Ambos sexos;01 Andalucía;Total;2024T3;47,90
Ambos sexos;01 Andalucía;Total;2024T2;47,73
Ambos sexos;01 Andalucía;Total;2024T1;46,50
Ambos sexos;01 Andalucía;Total;2023T4;46,91
Ambos sexos;01 Andalucía;Total;2023T3;46,85
Ambos sexos;01 Andalucía;Total;2023T2;47,06
Ambos sexos;01 Andalucía;Total;2023T1;46,46
Ambos sexos;01 Andalucía;Total;2022T4;45,63
Ambos sexos;01 Andalucía;Total;2022T3;46,07
Ambos sexos;01 Andalucía;Total;2022T2;46,14
Ambos sexos;01 Andalucía;Total;2022T1;45,38
Ambos sexos;01 Andalucía;Total;2021T4;45,90
Ambos sexos;01 Andalucía;Total;2021T3;44,42
Ambos sexos;01 Andalucía;Total;2021T2;44,61
Ambos sexos;01 Andalucía;Total;2021T1;43,23
Ambos sexos;01 Andalucía;Total;2020T4;43,80
Ambos sexos;01 Andalucía;Total;2020T3;42,50
Ambos sexos;01 Andalucía;Total;2020T2;41,48
Ambos sexos;01 Andalucía;Total;2020T1;44,35
Ambos sexos;01 Andalucía;Total;2019T4;44,85
Ambos sexos;01 Andalucía;Total;2019T3;44,45
Ambos sexos;01 Andalucía;Total;2019T2;45,04
Ambos sexos;01 Andalucía;Total;2019T1;44,71
Ambos sexos;01 Andalucía;Total;2018T4;44,57
Ambos sexos;01 Andalucía;Total;2018T3;43,83
Ambos sexos;01 Andalucía;Total;2018T2;43,88
Ambos sexos;01 Andalucía;Total;2018T1;42,96
Ambos sexos;01 Andalucía;Total;2017T4;43,03
Ambos sexos;01 Andalucía;Total;2017T3;42,77
Ambos sexos;01 Andalucía;Total;2017T2;42,93
Ambos sexos;01 Andalucía;Total;2017T1;42,15
Ambos sexos;01 Andalucía;Total;2016T4;41,23
Ambos sexos;01 Andalucía;Total;2016T3;41,20
Ambos sexos;01 Andalucía;Total;2016T2;41,13
Ambos sexos;01 Andalucía;Total;2016T1;40,90
Ambos sexos;01 Andalucía;Menores de 25 años;2025T3;25,66
Ambos sexos;01 Andalucía;Menores de 25 años;2025T2;21,06
Ambos sexos;01 Andalucía;Menores de 25 años;2025T1;19,66
Ambos sexos;01 Andalucía;Menores de 25 años;2024T4;20,30
Ambos sexos;01 Andalucía;Menores de 25 años;2024T3;23,05
Ambos sexos;01 Andalucía;Menores de 25 años;2024T2;21,35
Ambos sexos;01 Andalucía;Menores de 25 años;2024T1;19,45
Ambos sexos;01 Andalucía;Menores de 25 años;2023T4;19,86
Ambos sexos;01 Andalucía;Menores de 25 años;2023T3;22,88
Ambos sexos;01 Andalucía;Menores de 25 años;2023T2;21,83
Ambos sexos;01 Andalucía;Menores de 25 años;2023T1;18,76
Ambos sexos;01 Andalucía;Menores de 25 años;2022T4;20,30
Ambos sexos;01 Andalucía;Menores de 25 años;2022T3;22,30
Ambos sexos;01 Andalucía;Menores de 25 años;2022T2;22,37
Ambos sexos;01 Andalucía;Menores de 25 años;2022T1;20,11
Ambos sexos;01 Andalucía;Menores de 25 años;2021T4;19,64
Ambos sexos;01 Andalucía;Menores de 25 años;2021T3;21,93
Ambos sexos;01 Andalucía;Menores de 25 años;2021T2;18,17
Ambos sexos;01 Andalucía;Menores de 25 años;2021T1;14,43
Ambos sexos;01 Andalucía;Menores de 25 años;2020T4;14,63
Ambos sexos;01 Andalucía;Menores de 25 años;2020T3;16,02
Ambos sexos;01 Andalucía;Menores de 25 años;2020T2;13,53
Ambos sexos;01 Andalucía;Menores de 25 años;2020T1;18,28
Ambos sexos;01 Andalucía;Menores de 25 años;2019T4;19,90
Ambos sexos;01 Andalucía;Menores de 25 años;2019T3;21,08
Ambos sexos;01 Andalucía;Menores de 25 años;2019T2;20,58
Ambos sexos;01 Andalucía;Menores de 25 años;2019T1;19,90
Ambos sexos;01 Andalucía;Menores de 25 años;2018T4;19,31
Ambos sexos;01 Andalucía;Menores de 25 años;2018T3;19,86
Ambos sexos;01 Andalucía;Menores de 25 años;2018T2;18,16
Ambos sexos;01 Andalucía;Menores de 25 años;2018T1;16,52
Ambos sexos;01 Andalucía;Menores de 25 años;2017T4;17,90
Ambos sexos;01 Andalucía;Menores de 25 años;2017T3;20,82
Ambos sexos;01 Andalucía;Menores de 25 años;2017T2;18,24
Ambos sexos;01 Andalucía;Menores de 25 años;2017T1;15,66
Ambos sexos;01 Andalucía;Menores de 25 años;2016T4;13,89
Ambos sexos;01 Andalucía;Menores de 25 años;2016T3;16,15
Ambos sexos;01 Andalucía;Menores de 25 años;2016T2;14,78
Ambos sexos;01 Andalucía;Menores de 25 años;2016T1;14,32
Ambos sexos;01 Andalucía;25 y más años;2025T3;52,23
Ambos sexos;01 Andalucía;25 y más años;2025T2;52,07
Ambos sexos;01 Andalucía;25 y más años;2025T1;51,21
Ambos sexos;01 Andalucía;25 y más años;2024T4;51,43
Ambos sexos;01 Andalucía;25 y más años;2024T3;51,36
Ambos sexos;01 Andalucía;25 y más años;2024T2;51,37
Ambos sexos;01 Andalucía;25 y más años;2024T1;50,18
Ambos sexos;01 Andalucía;25 y más años;2023T4;50,56
Ambos sexos;01 Andalucía;25 y más años;2023T3;50,06
Ambos sexos;01 Andalucía;25 y más años;2023T2;50,42
Ambos sexos;01 Andalucía;25 y más años;2023T1;50,15
Ambos sexos;01 Andalucía;25 y más años;2022T4;49,02
Ambos sexos;01 Andalucía;25 y más años;2022T3;49,22
Ambos sexos;01 Andalucía;25 y más años;2022T2;49,30
Ambos sexos;01 Andalucía;25 y más años;2022T1;48,71
Ambos sexos;01 Andalucía;25 y más años;2021T4;49,37
Ambos sexos;01 Andalucía;25 y más años;2021T3;47,37
Ambos sexos;01 Andalucía;25 y más años;2021T2;48,05
Ambos sexos;01 Andalucía;25 y más años;2021T1;46,91
Ambos sexos;01 Andalucía;25 y más años;2020T4;47,64
Ambos sexos;01 Andalucía;25 y más años;2020T3;45,98
Ambos sexos;01 Andalucía;25 y más años;2020T2;45,15
Ambos sexos;01 Andalucía;25 y más años;2020T1;47,77
Ambos sexos;01 Andalucía;25 y más años;2019T4;48,11
Ambos sexos;01 Andalucía;25 y más años;2019T3;47,49
Ambos sexos;01 Andalucía;25 y más años;2019T2;48,23
Ambos sexos;01 Andalucía;25 y más años;2019T1;47,93
Ambos sexos;01 Andalucía;25 y más años;2018T4;47,84
Ambos sexos;01 Andalucía;25 y más años;2018T3;46,94
Ambos sexos;01 Andalucía;25 y más años;2018T2;47,22
Ambos sexos;01 Andalucía;25 y más años;2018T1;46,40
Ambos sexos;01 Andalucía;25 y más años;2017T4;46,30
Ambos sexos;01 Andalucía;25 y más años;2017T3;45,64
Ambos sexos;01 Andalucía;25 y más años;2017T2;46,16
Ambos sexos;01 Andalucía;25 y más años;2017T1;45,62
Ambos sexos;01 Andalucía;25 y más años;2016T4;44,82
Ambos sexos;01 Andalucía;25 y más años;2016T3;44,51
Ambos sexos;01 Andalucía;25 y más años;2016T2;44,63
Ambos sexos;01 Andalucía;25 y más años;2016T1;44,43
Ambos sexos;02 Aragón;Total;2025T3;54,04
Ambos sexos;02 Aragón;Total;2025T2;53,77
Ambos sexos;02 Aragón;Total;2025T1;53,98
Ambos sexos;02 Aragón;Total;2024T4;54,22
Ambos sexos;02 Aragón;Total;2024T3;53,80
Ambos sexos;02 Aragón;Total;2024T2;54,07
Ambos sexos;02 Aragón;Total;2024T1;53,77
Ambos sexos;02 Aragón;Total;2023T4;54,21
Ambos sexos;02 Aragón;Total;2023T3;53,45
Ambos sexos;02 Aragón;Total;2023T2;53,55
Ambos sexos;02 Aragón;Total;2023T1;53,03
Ambos sexos;02 Aragón;Total;2022T4;52,81
Ambos sexos;02 Aragón;Total;2022T3;53,03
Ambos sexos;02 Aragón;Total;2022T2;53,55
Ambos sexos;02 Aragón;Total;2022T1;52,89
Ambos sexos;02 Aragón;Total;2021T4;53,29
Ambos sexos;02 Aragón;Total;2021T3;53,59
Ambos sexos;02 Aragón;Total;2021T2;51,90
Ambos sexos;02 Aragón;Total;2021T1;50,62
Ambos sexos;02 Aragón;Total;2020T4;51,11
Ambos sexos;02 Aragón;Total;2020T3;51,05
Ambos sexos;02 Aragón;Total;2020T2;50,61
Ambos sexos;02 Aragón;Total;2020T1;52,47
Ambos sexos;02 Aragón;Total;2019T4;53,42
Ambos sexos;02 Aragón;Total;2019T3;53,90
Ambos sexos;02 Aragón;Total;2019T2;53,26
Ambos sexos;02 Aragón;Total;2019T1;52,48
Ambos sexos;02 Aragón;Total;2018T4;52,55
Ambos sexos;02 Aragón;Total;2018T3;52,99
Ambos sexos;02 Aragón;Total;2018T2;52,81
Ambos sexos;02 Aragón;Total;2018T1;51,39
Ambos sexos;02 Aragón;Total;2017T4;51,81
Ambos sexos;02 Aragón;Total;2017T3;52,17
Ambos sexos;02 Aragón;Total;2017T2;52,09
Ambos sexos;02 Aragón;Total;2017T1;50,93
Ambos sexos;02 Aragón;Total;2016T4;51,19
Ambos sexos;02 Aragón;Total;2016T3;50,64
Ambos sexos;02 Aragón;Total;2016T2;50,43
Ambos sexos;02 Aragón;Total;2016T1;50,09
Ambos sexos;02 Aragón;Menores de 25 años;2025T3;28,97
Ambos sexos;02 Aragón;Menores de 25 años;2025T2;30,40
Ambos sexos;02 Aragón;Menores de 25 años;2025T1;30,01
Ambos sexos;02 Aragón;Menores de 25 años;2024T4;31,79
Ambos sexos;02 Aragón;Menores de 25 años;2024T3;31,29
Ambos sexos;02 Aragón;Menores de 25 años;2024T2;29,82
Ambos sexos;02 Aragón;Menores de 25 años;2024T1;28,61
Ambos sexos;02 Aragón;Menores de 25 años;2023T4;28,82
Ambos sexos;02 Aragón;Menores de 25 años;2023T3;30,41
Ambos sexos;02 Aragón;Menores de 25 años;2023T2;26,52
Ambos sexos;02 Aragón;Menores de 25 años;2023T1;25,52
Ambos sexos;02 Aragón;Menores de 25 años;2022T4;26,56
Ambos sexos;02 Aragón;Menores de 25 años;2022T3;28,61
Ambos sexos;02 Aragón;Menores de 25 años;2022T2;26,59
Ambos sexos;02 Aragón;Menores de 25 años;2022T1;30,46
Ambos sexos;02 Aragón;Menores de 25 años;2021T4;28,85
Ambos sexos;02 Aragón;Menores de 25 años;2021T3;28,96
Ambos sexos;02 Aragón;Menores de 25 años;2021T2;28,10
Ambos sexos;02 Aragón;Menores de 25 años;2021T1;23,28
Ambos sexos;02 Aragón;Menores de 25 años;2020T4;25,08
Ambos sexos;02 Aragón;Menores de 25 años;2020T3;27,05
Ambos sexos;02 Aragón;Menores de 25 años;2020T2;25,68
Ambos sexos;02 Aragón;Menores de 25 años;2020T1;28,68
Ambos sexos;02 Aragón;Menores de 25 años;2019T4;29,30
Ambos sexos;02 Aragón;Menores de 25 años;2019T3;29,31
Ambos sexos;02 Aragón;Menores de 25 años;2019T2;25,86
Ambos sexos;02 Aragón;Menores de 25 años;2019T1;23,08
Ambos sexos;02 Aragón;Menores de 25 años;2018T4;25,05
Ambos sexos;02 Aragón;Menores de 25 años;2018T3;28,13
Ambos sexos;02 Aragón;Menores de 25 años;2018T2;28,18
Ambos sexos;02 Aragón;Menores de 25 años;2018T1;23,46
Ambos sexos;02 Aragón;Menores de 25 años;2017T4;26,31
Ambos sexos;02 Aragón;Menores de 25 años;2017T3;29,34
Ambos sexos;02 Aragón;Menores de 25 años;2017T2;24,92
Ambos sexos;02 Aragón;Menores de 25 años;2017T1;23,99
Ambos sexos;02 Aragón;Menores de 25 años;2016T4;23,77
Ambos sexos;02 Aragón;Menores de 25 años;2016T3;24,26
Ambos sexos;02 Aragón;Menores de 25 años;2016T2;23,42
Ambos sexos;02 Aragón;Menores de 25 años;2016T1;26,11
Ambos sexos;02 Aragón;25 y más años;2025T3;57,07
Ambos sexos;02 Aragón;25 y más años;2025T2;56,64
Ambos sexos;02 Aragón;25 y más años;2025T1;56,88
Ambos sexos;02 Aragón;25 y más años;2024T4;56,99
Ambos sexos;02 Aragón;25 y más años;2024T3;56,60
Ambos sexos;02 Aragón;25 y más años;2024T2;57,07
Ambos sexos;02 Aragón;25 y más años;2024T1;56,86
Ambos sexos;02 Aragón;25 y más años;2023T4;57,27
Ambos sexos;02 Aragón;25 y más años;2023T3;56,18
Ambos sexos;02 Aragón;25 y más años;2023T2;56,75
Ambos sexos;02 Aragón;25 y más años;2023T1;56,37
Ambos sexos;02 Aragón;25 y más años;2022T4;55,98
Ambos sexos;02 Aragón;25 y más años;2022T3;55,87
Ambos sexos;02 Aragón;25 y más años;2022T2;56,77
Ambos sexos;02 Aragón;25 y más años;2022T1;55,52
Ambos sexos;02 Aragón;25 y más años;2021T4;56,16
Ambos sexos;02 Aragón;25 y más años;2021T3;56,41
Ambos sexos;02 Aragón;25 y más años;2021T2;54,61
Ambos sexos;02 Aragón;25 y más años;2021T1;53,71
Ambos sexos;02 Aragón;25 y más años;2020T4;54,13
Ambos sexos;02 Aragón;25 y más años;2020T3;53,83
Ambos sexos;02 Aragón;25 y más años;2020T2;53,48
Ambos sexos;02 Aragón;25 y más años;2020T1;55,19
Ambos sexos;02 Aragón;25 y más años;2019T4;56,16
Ambos sexos;02 Aragón;25 y más años;2019T3;56,69
Ambos sexos;02 Aragón;25 y más años;2019T2;56,34
Ambos sexos;02 Aragón;25 y más años;2019T1;55,76
Ambos sexos;02 Aragón;25 y más años;2018T4;55,60
Ambos sexos;02 Aragón;25 y más años;2018T3;55,73
Ambos sexos;02 Aragón;25 y más años;2018T2;55,51
Ambos sexos;02 Aragón;25 y más años;2018T1;54,44
Ambos sexos;02 Aragón;25 y más años;2017T4;54,58
Ambos sexos;02 Aragón;25 y más años;2017T3;54,65
Ambos sexos;02 Aragón;25 y más años;2017T2;55,03
Ambos sexos;02 Aragón;25 y más años;2017T1;53,83
Ambos sexos;02 Aragón;25 y más años;2016T4;54,13
Ambos sexos;02 Aragón;25 y más años;2016T3;53,47
Ambos sexos;02 Aragón;25 y más años;2016T2;53,33
Ambos sexos;02 Aragón;25 y más años;2016T1;52,66
Ambos sexos;03 Asturias, Principado de;Total;2025T3;47,73
Ambos sexos;03 Asturias, Principado de;Total;2025T2;48,74
Ambos sexos;03 Asturias, Principado de;Total;2025T1;47,58
Ambos sexos;03 Asturias, Principado de;Total;2024T4;47,94
Ambos sexos;03 Asturias, Principado de;Total;2024T3;47,13
Ambos sexos;03 Asturias, Principado de;Total;2024T2;44,72
Ambos sexos;03 Asturias, Principado de;Total;2024T1;45,02
Ambos sexos;03 Asturias, Principado de;Total;2023T4;44,23
Ambos sexos;03 Asturias, Principado de;Total;2023T3;44,35
Ambos sexos;03 Asturias, Principado de;Total;2023T2;44,71
Ambos sexos;03 Asturias, Principado de;Total;2023T1;42,77
Ambos sexos;03 Asturias, Principado de;Total;2022T4;42,69
Ambos sexos;03 Asturias, Principado de;Total;2022T3;43,36
Ambos sexos;03 Asturias, Principado de;Total;2022T2;43,04
Ambos sexos;03 Asturias, Principado de;Total;2022T1;43,86
Ambos sexos;03 Asturias, Principado de;Total;2021T4;44,72
Ambos sexos;03 Asturias, Principado de;Total;2021T3;44,59
Ambos sexos;03 Asturias, Principado de;Total;2021T2;43,95
Ambos sexos;03 Asturias, Principado de;Total;2021T1;43,50
Ambos sexos;03 Asturias, Principado de;Total;2020T4;43,41
Ambos sexos;03 Asturias, Principado de;Total;2020T3;42,96
Ambos sexos;03 Asturias, Principado de;Total;2020T2;41,84
Ambos sexos;03 Asturias, Principado de;Total;2020T1;43,63
Ambos sexos;03 Asturias, Principado de;Total;2019T4;44,10
Ambos sexos;03 Asturias, Principado de;Total;2019T3;43,41
Ambos sexos;03 Asturias, Principado de;Total;2019T2;43,23
Ambos sexos;03 Asturias, Principado de;Total;2019T1;43,27
Ambos sexos;03 Asturias, Principado de;Total;2018T4;43,81
Ambos sexos;03 Asturias, Principado de;Total;2018T3;44,19
Ambos sexos;03 Asturias, Principado de;Total;2018T2;44,16
Ambos sexos;03 Asturias, Principado de;Total;2018T1;43,29
Ambos sexos;03 Asturias, Principado de;Total;2017T4;43,25
Ambos sexos;03 Asturias, Principado de;Total;2017T3;44,21
Ambos sexos;03 Asturias, Principado de;Total;2017T2;44,49
Ambos sexos;03 Asturias, Principado de;Total;2017T1;43,59
Ambos sexos;03 Asturias, Principado de;Total;2016T4;43,48
Ambos sexos;03 Asturias, Principado de;Total;2016T3;43,43
Ambos sexos;03 Asturias, Principado de;Total;2016T2;42,06
Ambos sexos;03 Asturias, Principado de;Total;2016T1;41,34
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2025T3;27,68
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2025T2;26,31
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2025T1;24,07
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2024T4;22,74
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2024T3;23,80
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2024T2;19,60
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2024T1;19,88
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2023T4;18,68
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2023T3;23,14
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2023T2;21,57
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2023T1;18,87
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2022T4;17,73
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2022T3;17,53
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2022T2;17,88
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2022T1;18,17
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2021T4;22,14
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2021T3;20,03
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2021T2;17,13
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2021T1;13,71
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2020T4;16,18
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2020T3;16,20
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2020T2;14,02
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2020T1;17,53
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2019T4;18,54
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2019T3;20,30
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2019T2;19,92
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2019T1;20,03
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2018T4;17,95
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2018T3;17,78
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2018T2;14,04
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2018T1;15,67
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2017T4;13,64
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2017T3;19,58
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2017T2;18,09
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2017T1;19,65
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2016T4;19,65
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2016T3;16,45
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2016T2;13,54
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2016T1;14,17
Ambos sexos;03 Asturias, Principado de;25 y más años;2025T3;49,60
Ambos sexos;03 Asturias, Principado de;25 y más años;2025T2;50,85
Ambos sexos;03 Asturias, Principado de;25 y más años;2025T1;49,68
Ambos sexos;03 Asturias, Principado de;25 y más años;2024T4;50,22
Ambos sexos;03 Asturias, Principado de;25 y más años;2024T3;49,27
Ambos sexos;03 Asturias, Principado de;25 y más años;2024T2;47,09
Ambos sexos;03 Asturias, Principado de;25 y más años;2024T1;47,34
Ambos sexos;03 Asturias, Principado de;25 y más años;2023T4;46,64
Ambos sexos;03 Asturias, Principado de;25 y más años;2023T3;46,31
Ambos sexos;03 Asturias, Principado de;25 y más años;2023T2;46,81
Ambos sexos;03 Asturias, Principado de;25 y más años;2023T1;44,92
Ambos sexos;03 Asturias, Principado de;25 y más años;2022T4;44,91
Ambos sexos;03 Asturias, Principado de;25 y más años;2022T3;45,66
Ambos sexos;03 Asturias, Principado de;25 y más años;2022T2;45,27
Ambos sexos;03 Asturias, Principado de;25 y más años;2022T1;46,12
