Sector económico;Sexo;Comunidades y Ciudades Autónomas;Periodo;Total
Total;Ambos sexos;01 Andalucía;2024T3;3.503,4
Total;Ambos sexos;01 Andalucía;2024T2;3.478,9
Total;Ambos sexos;01 Andalucía;2024T1;3.377,7
Total;Ambos sexos;01 Andalucía;2023T4;3.402,3
Total;Ambos sexos;01 Andalucía;2023T3;3.390,5
Total;Ambos sexos;01 Andalucía;2023T2;3.396,2
Total;Ambos sexos;01 Andalucía;2023T1;3.346,4
Total;Ambos sexos;01 Andalucía;2022T4;3.280,3
Total;Ambos sexos;01 Andalucía;2022T3;3.298,6
Total;Ambos sexos;01 Andalucía;2022T2;3.294,5
Total;Ambos sexos;01 Andalucía;2022T1;3.229,6
Total;Ambos sexos;01 Andalucía;2021T4;3.260,8
Total;Ambos sexos;01 Andalucía;2021T3;3.148,7
Total;Ambos sexos;01 Andalucía;2021T2;3.153,4
Total;Ambos sexos;01 Andalucía;2021T1;3.047,1
Total;Ambos sexos;01 Andalucía;2020T4;3.083,0
Total;Ambos sexos;01 Andalucía;2020T3;2.985,3
Total;Ambos sexos;01 Andalucía;2020T2;2.909,0
Total;Ambos sexos;01 Andalucía;2020T1;3.107,2
Total;Ambos sexos;01 Andalucía;2019T4;3.136,0
Total;Ambos sexos;01 Andalucía;2019T3;3.100,9
Total;Ambos sexos;01 Andalucía;2019T2;3.135,9
Total;Ambos sexos;01 Andalucía;2019T1;3.106,2
Total;Ambos sexos;01 Andalucía;2018T4;3.090,3
Total;Ambos sexos;01 Andalucía;2018T3;3.032,7
Total;Ambos sexos;01 Andalucía;2018T2;3.032,4
Total;Ambos sexos;01 Andalucía;2018T1;2.967,7
Total;Ambos sexos;01 Andalucía;2017T4;2.971,6
Total;Ambos sexos;01 Andalucía;2017T3;2.952,3
Total;Ambos sexos;01 Andalucía;2017T2;2.961,9
Total;Ambos sexos;01 Andalucía;2017T1;2.908,4
Total;Ambos sexos;01 Andalucía;2016T4;2.845,3
Total;Ambos sexos;01 Andalucía;2016T3;2.841,2
Total;Ambos sexos;01 Andalucía;2016T2;2.832,7
Total;Ambos sexos;01 Andalucía;2016T1;2.814,3
Total;Ambos sexos;02 Aragón;2025T3;630,5
Total;Ambos sexos;02 Aragón;2025T2;623,8
Total;Ambos sexos;02 Aragón;2025T1;621,7
Total;Ambos sexos;02 Aragón;2024T4;624,5
Total;Ambos sexos;02 Aragón;2024T3;619,2
Total;Ambos sexos;02 Aragón;2024T2;620,4
Total;Ambos sexos;02 Aragón;2024T1;616,5
Total;Ambos sexos;02 Aragón;2023T4;620,5
Total;Ambos sexos;02 Aragón;2023T3;610,1
Total;Ambos sexos;02 Aragón;2023T2;610,1
Total;Ambos sexos;02 Aragón;2023T1;604,5
Total;Ambos sexos;02 Aragón;2022T4;600,2
Total;Ambos sexos;02 Aragón;2022T3;599,0
Total;Ambos sexos;02 Aragón;2022T2;605,0
Total;Ambos sexos;02 Aragón;2022T1;595,2
Total;Ambos sexos;02 Aragón;2021T4;600,3
Total;Ambos sexos;02 Aragón;2021T3;602,6
Total;Ambos sexos;02 Aragón;2021T2;583,2
Total;Ambos sexos;02 Aragón;2021T1;568,4
Total;Ambos sexos;02 Aragón;2020T4;568,1
Total;Ambos sexos;02 Aragón;2020T3;567,2
Total;Ambos sexos;02 Aragón;2020T2;562,1
Total;Ambos sexos;02 Aragón;2020T1;582,1
Total;Ambos sexos;02 Aragón;2019T4;591,2
Total;Ambos sexos;02 Aragón;2019T3;595,1
Total;Ambos sexos;02 Aragón;2019T2;586,7
Total;Ambos sexos;02 Aragón;2019T1;577,2
Total;Ambos sexos;02 Aragón;2018T4;577,0
Total;Ambos sexos;02 Aragón;2018T3;580,1
Total;Ambos sexos;02 Aragón;2018T2;577,1
Total;Ambos sexos;02 Aragón;2018T1;561,1
Total;Ambos sexos;02 Aragón;2017T4;565,7
Total;Ambos sexos;02 Aragón;2017T3;570,2
Total;Ambos sexos;02 Aragón;2017T2;569,8
Total;Ambos sexos;02 Aragón;2017T1;557,6
Total;Ambos sexos;02 Aragón;2016T4;560,8
Total;Ambos sexos;02 Aragón;2016T3;554,7
Total;Ambos sexos;02 Aragón;2016T2;551,9
Total;Ambos sexos;02 Aragón;2016T1;548,3
Total;Ambos sexos;03 Asturias, Principado de;2025T3;431,0
Total;Ambos sexos;03 Asturias, Principado de;2025T2;439,2
Total;Ambos sexos;03 Asturias, Principado de;2025T1;426,2
Total;Ambos sexos;03 Asturias, Principado de;2024T4;429,6
Total;Ambos sexos;03 Asturias, Principado de;2024T3;421,9
Total;Ambos sexos;03 Asturias, Principado de;2024T2;400,5
Total;Ambos sexos;03 Asturias, Principado de;2024T1;402,3
Total;Ambos sexos;03 Asturias, Principado de;2023T4;395,7
Total;Ambos sexos;03 Asturias, Principado de;2023T3;395,8
Total;Ambos sexos;03 Asturias, Principado de;2023T2;398,1
Total;Ambos sexos;03 Asturias, Principado de;2023T1;380,4
Total;Ambos sexos;03 Asturias, Principado de;2022T4;379,3
Total;Ambos sexos;03 Asturias, Principado de;2022T3;385,1
Total;Ambos sexos;03 Asturias, Principado de;2022T2;381,8
Total;Ambos sexos;03 Asturias, Principado de;2022T1;389,1
Total;Ambos sexos;03 Asturias, Principado de;2021T4;396,2
Total;Ambos sexos;03 Asturias, Principado de;2021T3;394,2
Total;Ambos sexos;03 Asturias, Principado de;2021T2;389,2
Total;Ambos sexos;03 Asturias, Principado de;2021T1;386,3
Total;Ambos sexos;03 Asturias, Principado de;2020T4;384,7
Total;Ambos sexos;03 Asturias, Principado de;2020T3;380,8
Total;Ambos sexos;03 Asturias, Principado de;2020T2;371,3
Total;Ambos sexos;03 Asturias, Principado de;2020T1;387,6
Total;Ambos sexos;03 Asturias, Principado de;2019T4;392,0
Total;Ambos sexos;03 Asturias, Principado de;2019T3;386,0
Total;Ambos sexos;03 Asturias, Principado de;2019T2;384,7
Total;Ambos sexos;03 Asturias, Principado de;2019T1;385,4
Total;Ambos sexos;03 Asturias, Principado de;2018T4;390,6
Total;Ambos sexos;03 Asturias, Principado de;2018T3;394,4
Total;Ambos sexos;03 Asturias, Principado de;2018T2;394,7
Total;Ambos sexos;03 Asturias, Principado de;2018T1;387,9
Total;Ambos sexos;03 Asturias, Principado de;2017T4;388,4
Total;Ambos sexos;03 Asturias, Principado de;2017T3;397,9
Total;Ambos sexos;03 Asturias, Principado de;2017T2;401,4
Total;Ambos sexos;03 Asturias, Principado de;2017T1;394,1
Total;Ambos sexos;03 Asturias, Principado de;2016T4;393,8
Total;Ambos sexos;03 Asturias, Principado de;2016T3;393,6
Total;Ambos sexos;03 Asturias, Principado de;2016T2;381,5
Total;Ambos sexos;03 Asturias, Principado de;2016T1;375,4
Total;Ambos sexos;04 Balears, Illes;2025T3;672,5
Total;Ambos sexos;04 Balears, Illes;2025T2;646,3
Total;Ambos sexos;04 Balears, Illes;2025T1;554,5
Total;Ambos sexos;04 Balears, Illes;2024T4;596,9
Total;Ambos sexos;04 Balears, Illes;2024T3;661,2
Total;Ambos sexos;04 Balears, Illes;2024T2;629,9
Total;Ambos sexos;04 Balears, Illes;2024T1;541,0
Total;Ambos sexos;04 Balears, Illes;2023T4;564,2
Total;Ambos sexos;04 Balears, Illes;2023T3;655,3
Total;Ambos sexos;04 Balears, Illes;2023T2;619,5
Total;Ambos sexos;04 Balears, Illes;2023T1;519,3
Total;Ambos sexos;04 Balears, Illes;2022T4;554,3
Total;Ambos sexos;04 Balears, Illes;2022T3;636,4
Total;Ambos sexos;04 Balears, Illes;2022T2;596,3
Total;Ambos sexos;04 Balears, Illes;2022T1;516,9
Total;Ambos sexos;04 Balears, Illes;2021T4;520,6
Total;Ambos sexos;04 Balears, Illes;2021T3;597,6
Total;Ambos sexos;04 Balears, Illes;2021T2;546,4
Total;Ambos sexos;04 Balears, Illes;2021T1;487,4
Total;Ambos sexos;04 Balears, Illes;2020T4;523,8
Total;Ambos sexos;04 Balears, Illes;2020T3;573,9
Total;Ambos sexos;04 Balears, Illes;2020T2;512,2
Total;Ambos sexos;04 Balears, Illes;2020T1;503,0
Total;Ambos sexos;04 Balears, Illes;2019T4;570,1
Total;Ambos sexos;04 Balears, Illes;2019T3;619,7
Total;Ambos sexos;04 Balears, Illes;2019T2;578,7
Total;Ambos sexos;04 Balears, Illes;2019T1;516,1
Total;Ambos sexos;04 Balears, Illes;2018T4;556,1
Total;Ambos sexos;04 Balears, Illes;2018T3;621,7
Total;Ambos sexos;04 Balears, Illes;2018T2;574,2
Total;Ambos sexos;04 Balears, Illes;2018T1;488,7
Total;Ambos sexos;04 Balears, Illes;2017T4;520,3
Total;Ambos sexos;04 Balears, Illes;2017T3;585,8
Total;Ambos sexos;04 Balears, Illes;2017T2;554,5
Total;Ambos sexos;04 Balears, Illes;2017T1;489,5
Total;Ambos sexos;04 Balears, Illes;2016T4;511,6
Total;Ambos sexos;04 Balears, Illes;2016T3;572,5
Total;Ambos sexos;04 Balears, Illes;2016T2;547,1
Total;Ambos sexos;04 Balears, Illes;2016T1;491,1
Total;Ambos sexos;05 Canarias;2025T3;1.007,9
Total;Ambos sexos;05 Canarias;2025T2;1.022,0
Total;Ambos sexos;05 Canarias;2025T1;1.024,1
Total;Ambos sexos;05 Canarias;2024T4;1.023,7
Total;Ambos sexos;05 Canarias;2024T3;997,4
Total;Ambos sexos;05 Canarias;2024T2;1.005,2
Total;Ambos sexos;05 Canarias;2024T1;996,2
Total;Ambos sexos;05 Canarias;2023T4;986,4
Total;Ambos sexos;05 Canarias;2023T3;971,8
Total;Ambos sexos;05 Canarias;2023T2;966,1
Total;Ambos sexos;05 Canarias;2023T1;949,4
Total;Ambos sexos;05 Canarias;2022T4;960,3
Total;Ambos sexos;05 Canarias;2022T3;925,3
Total;Ambos sexos;05 Canarias;2022T2;922,5
Total;Ambos sexos;05 Canarias;2022T1;892,7
Total;Ambos sexos;05 Canarias;2021T4;904,0
Total;Ambos sexos;05 Canarias;2021T3;843,3
Total;Ambos sexos;05 Canarias;2021T2;800,6
Total;Ambos sexos;05 Canarias;2021T1;773,8
Total;Ambos sexos;05 Canarias;2020T4;827,4
Total;Ambos sexos;05 Canarias;2020T3;819,3
Total;Ambos sexos;05 Canarias;2020T2;822,2
Total;Ambos sexos;05 Canarias;2020T1;930,2
Total;Ambos sexos;05 Canarias;2019T4;940,3
Total;Ambos sexos;05 Canarias;2019T3;891,2
Total;Ambos sexos;05 Canarias;2019T2;899,7
Total;Ambos sexos;05 Canarias;2019T1;892,5
Total;Ambos sexos;05 Canarias;2018T4;913,4
Total;Ambos sexos;05 Canarias;2018T3;909,3
Total;Ambos sexos;05 Canarias;2018T2;886,6
Total;Ambos sexos;05 Canarias;2018T1;879,5
Total;Ambos sexos;05 Canarias;2017T4;871,8
Total;Ambos sexos;05 Canarias;2017T3;855,2
Total;Ambos sexos;05 Canarias;2017T2;828,6
Total;Ambos sexos;05 Canarias;2017T1;809,7
Total;Ambos sexos;05 Canarias;2016T4;826,3
Total;Ambos sexos;05 Canarias;2016T3;815,5
Total;Ambos sexos;05 Canarias;2016T2;799,9
Total;Ambos sexos;05 Canarias;2016T1;811,8
Total;Ambos sexos;06 Cantabria;2025T3;268,4
Total;Ambos sexos;06 Cantabria;2025T2;266,3
Total;Ambos sexos;06 Cantabria;2025T1;261,9
Total;Ambos sexos;06 Cantabria;2024T4;261,1
Total;Ambos sexos;06 Cantabria;2024T3;270,7
Total;Ambos sexos;06 Cantabria;2024T2;259,5
Total;Ambos sexos;06 Cantabria;2024T1;262,5
Total;Ambos sexos;06 Cantabria;2023T4;256,0
Total;Ambos sexos;06 Cantabria;2023T3;260,6
Total;Ambos sexos;06 Cantabria;2023T2;256,1
Total;Ambos sexos;06 Cantabria;2023T1;246,7
Total;Ambos sexos;06 Cantabria;2022T4;244,4
Total;Ambos sexos;06 Cantabria;2022T3;255,5
Total;Ambos sexos;06 Cantabria;2022T2;253,1
Total;Ambos sexos;06 Cantabria;2022T1;243,6
Total;Ambos sexos;06 Cantabria;2021T4;243,2
Total;Ambos sexos;06 Cantabria;2021T3;256,1
Total;Ambos sexos;06 Cantabria;2021T2;242,3
Total;Ambos sexos;06 Cantabria;2021T1;238,3
Total;Ambos sexos;06 Cantabria;2020T4;237,3
Total;Ambos sexos;06 Cantabria;2020T3;240,9
Total;Ambos sexos;06 Cantabria;2020T2;220,2
Total;Ambos sexos;06 Cantabria;2020T1;239,2
Total;Ambos sexos;06 Cantabria;2019T4;244,7
Total;Ambos sexos;06 Cantabria;2019T3;248,8
Total;Ambos sexos;06 Cantabria;2019T2;244,5
Total;Ambos sexos;06 Cantabria;2019T1;237,3
Total;Ambos sexos;06 Cantabria;2018T4;241,6
Total;Ambos sexos;06 Cantabria;2018T3;246,8
Total;Ambos sexos;06 Cantabria;2018T2;239,9
Total;Ambos sexos;06 Cantabria;2018T1;235,6
Total;Ambos sexos;06 Cantabria;2017T4;237,6
Total;Ambos sexos;06 Cantabria;2017T3;239,4
Total;Ambos sexos;06 Cantabria;2017T2;236,1
Total;Ambos sexos;06 Cantabria;2017T1;235,1
Total;Ambos sexos;06 Cantabria;2016T4;240,8
Total;Ambos sexos;06 Cantabria;2016T3;242,9
Total;Ambos sexos;06 Cantabria;2016T2;233,9
Total;Ambos sexos;06 Cantabria;2016T1;222,1
Total;Ambos sexos;07 Castilla y León;2025T3;1.057,7
Total;Ambos sexos;07 Castilla y León;2025T2;1.047,8
Total;Ambos sexos;07 Castilla y León;2025T1;1.033,5
Total;Ambos sexos;07 Castilla y León;2024T4;1.041,5
Total;Ambos sexos;07 Castilla y León;2024T3;1.044,5
Total;Ambos sexos;07 Castilla y León;2024T2;1.012,5
Total;Ambos sexos;07 Castilla y León;2024T1;1.001,7
Total;Ambos sexos;07 Castilla y León;2023T4;1.013,2
Total;Ambos sexos;07 Castilla y León;2023T3;1.021,0
Total;Ambos sexos;07 Castilla y León;2023T2;1.013,5
Total;Ambos sexos;07 Castilla y León;2023T1;997,8
Total;Ambos sexos;07 Castilla y León;2022T4;1.019,1
Total;Ambos sexos;07 Castilla y León;2022T3;1.025,5
Total;Ambos sexos;07 Castilla y León;2022T2;1.008,7
Total;Ambos sexos;07 Castilla y León;2022T1;986,9
Total;Ambos sexos;07 Castilla y León;2021T4;989,3
Total;Ambos sexos;07 Castilla y León;2021T3;999,9
Total;Ambos sexos;07 Castilla y León;2021T2;963,5
Total;Ambos sexos;07 Castilla y León;2021T1;951,2
Total;Ambos sexos;07 Castilla y León;2020T4;976,6
Total;Ambos sexos;07 Castilla y León;2020T3;970,8
Total;Ambos sexos;07 Castilla y León;2020T2;927,1
Total;Ambos sexos;07 Castilla y León;2020T1;984,3
Total;Ambos sexos;07 Castilla y León;2019T4;1.003,9
Total;Ambos sexos;07 Castilla y León;2019T3;1.005,0
Total;Ambos sexos;07 Castilla y León;2019T2;989,6
Total;Ambos sexos;07 Castilla y León;2019T1;964,6
Total;Ambos sexos;07 Castilla y León;2018T4;990,8
Total;Ambos sexos;07 Castilla y León;2018T3;997,0
Total;Ambos sexos;07 Castilla y León;2018T2;985,4
Total;Ambos sexos;07 Castilla y León;2018T1;957,9
Total;Ambos sexos;07 Castilla y León;2017T4;965,8
Total;Ambos sexos;07 Castilla y León;2017T3;986,7
Total;Ambos sexos;07 Castilla y León;2017T2;975,1
Total;Ambos sexos;07 Castilla y León;2017T1;959,1
Total;Ambos sexos;07 Castilla y León;2016T4;972,9
Total;Ambos sexos;07 Castilla y León;2016T3;992,8
Total;Ambos sexos;07 Castilla y León;2016T2;960,7
Total;Ambos sexos;07 Castilla y León;2016T1;932,8
Total;Ambos sexos;08 Castilla - La Mancha;2025T3;940,0
Total;Ambos sexos;08 Castilla - La Mancha;2025T2;920,1
Total;Ambos sexos;08 Castilla - La Mancha;2025T1;904,2
Total;Ambos sexos;08 Castilla - La Mancha;2024T4;911,3
Total;Ambos sexos;08 Castilla - La Mancha;2024T3;918,2
Total;Ambos sexos;08 Castilla - La Mancha;2024T2;894,5
Total;Ambos sexos;08 Castilla - La Mancha;2024T1;872,6
Total;Ambos sexos;08 Castilla - La Mancha;2023T4;900,1
Total;Ambos sexos;08 Castilla - La Mancha;2023T3;909,7
Total;Ambos sexos;08 Castilla - La Mancha;2023T2;900,2
Total;Ambos sexos;08 Castilla - La Mancha;2023T1;870,3
Total;Ambos sexos;08 Castilla - La Mancha;2022T4;877,6
Total;Ambos sexos;08 Castilla - La Mancha;2022T3;872,2
Total;Ambos sexos;08 Castilla - La Mancha;2022T2;875,0
Total;Ambos sexos;08 Castilla - La Mancha;2022T1;861,4
Total;Ambos sexos;08 Castilla - La Mancha;2021T4;872,4
Total;Ambos sexos;08 Castilla - La Mancha;2021T3;867,7
Total;Ambos sexos;08 Castilla - La Mancha;2021T2;838,4
Total;Ambos sexos;08 Castilla - La Mancha;2021T1;813,0
Total;Ambos sexos;08 Castilla - La Mancha;2020T4;821,9
Total;Ambos sexos;08 Castilla - La Mancha;2020T3;799,6
Total;Ambos sexos;08 Castilla - La Mancha;2020T2;771,1
Total;Ambos sexos;08 Castilla - La Mancha;2020T1;800,9
Total;Ambos sexos;08 Castilla - La Mancha;2019T4;824,2
Total;Ambos sexos;08 Castilla - La Mancha;2019T3;826,1
Total;Ambos sexos;08 Castilla - La Mancha;2019T2;820,5
Total;Ambos sexos;08 Castilla - La Mancha;2019T1;829,5
Total;Ambos sexos;08 Castilla - La Mancha;2018T4;830,1
Total;Ambos sexos;08 Castilla - La Mancha;2018T3;817,6
Total;Ambos sexos;08 Castilla - La Mancha;2018T2;795,0
Total;Ambos sexos;08 Castilla - La Mancha;2018T1;777,2
Total;Ambos sexos;08 Castilla - La Mancha;2017T4;799,1
Total;Ambos sexos;08 Castilla - La Mancha;2017T3;792,3
Total;Ambos sexos;08 Castilla - La Mancha;2017T2;766,8
Total;Ambos sexos;08 Castilla - La Mancha;2017T1;770,8
Total;Ambos sexos;08 Castilla - La Mancha;2016T4;770,1
Total;Ambos sexos;08 Castilla - La Mancha;2016T3;756,5
Total;Ambos sexos;08 Castilla - La Mancha;2016T2;748,1
Total;Ambos sexos;08 Castilla - La Mancha;2016T1;733,2
Total;Ambos sexos;09 Cataluña;2025T3;3.950,6
Total;Ambos sexos;09 Cataluña;2025T2;3.944,7
Total;Ambos sexos;09 Cataluña;2025T1;3.850,1
Total;Ambos sexos;09 Cataluña;2024T4;3.855,9
Total;Ambos sexos;09 Cataluña;2024T3;3.861,1
Total;Ambos sexos;09 Cataluña;2024T2;3.807,6
Total;Ambos sexos;09 Cataluña;2024T1;3.783,8
Total;Ambos sexos;09 Cataluña;2023T4;3.800,8
Total;Ambos sexos;09 Cataluña;2023T3;3.808,2
Total;Ambos sexos;09 Cataluña;2023T2;3.737,5
Total;Ambos sexos;09 Cataluña;2023T1;3.591,6
Total;Ambos sexos;09 Cataluña;2022T4;3.595,5
Total;Ambos sexos;09 Cataluña;2022T3;3.650,3
Total;Ambos sexos;09 Cataluña;2022T2;3.606,5
Total;Ambos sexos;09 Cataluña;2022T1;3.521,8
Total;Ambos sexos;09 Cataluña;2021T4;3.555,7
Total;Ambos sexos;09 Cataluña;2021T3;3.535,0
Total;Ambos sexos;09 Cataluña;2021T2;3.454,3
Total;Ambos sexos;09 Cataluña;2021T1;3.415,3
Total;Ambos sexos;09 Cataluña;2020T4;3.340,6
Total;Ambos sexos;09 Cataluña;2020T3;3.323,9
Total;Ambos sexos;09 Cataluña;2020T2;3.227,5
Total;Ambos sexos;09 Cataluña;2020T1;3.451,2
Total;Ambos sexos;09 Cataluña;2019T4;3.478,1
Total;Ambos sexos;09 Cataluña;2019T3;3.462,4
Total;Ambos sexos;09 Cataluña;2019T2;3.431,2
Total;Ambos sexos;09 Cataluña;2019T1;3.391,0
Total;Ambos sexos;09 Cataluña;2018T4;3.391,1
Total;Ambos sexos;09 Cataluña;2018T3;3.393,9
Total;Ambos sexos;09 Cataluña;2018T2;3.360,4
Total;Ambos sexos;09 Cataluña;2018T1;3.303,3
Total;Ambos sexos;09 Cataluña;2017T4;3.316,2
Total;Ambos sexos;09 Cataluña;2017T3;3.316,6
Total;Ambos sexos;09 Cataluña;2017T2;3.270,5
Total;Ambos sexos;09 Cataluña;2017T1;3.197,9
Total;Ambos sexos;09 Cataluña;2016T4;3.202,6
Total;Ambos sexos;09 Cataluña;2016T3;3.223,9
Total;Ambos sexos;09 Cataluña;2016T2;3.181,3
Total;Ambos sexos;09 Cataluña;2016T1;3.127,6
Total;Ambos sexos;10 Comunitat Valenciana;2025T3;2.451,0
Total;Ambos sexos;10 Comunitat Valenciana;2025T2;2.413,6
Total;Ambos sexos;10 Comunitat Valenciana;2025T1;2.351,3
Total;Ambos sexos;10 Comunitat Valenciana;2024T4;2.371,7
Total;Ambos sexos;10 Comunitat Valenciana;2024T3;2.334,4
Total;Ambos sexos;10 Comunitat Valenciana;2024T2;2.376,7
Total;Ambos sexos;10 Comunitat Valenciana;2024T1;2.297,9
Total;Ambos sexos;10 Comunitat Valenciana;2023T4;2.332,9
Total;Ambos sexos;10 Comunitat Valenciana;2023T3;2.359,8
Total;Ambos sexos;10 Comunitat Valenciana;2023T2;2.279,0
Total;Ambos sexos;10 Comunitat Valenciana;2023T1;2.244,7
Total;Ambos sexos;10 Comunitat Valenciana;2022T4;2.254,5
Total;Ambos sexos;10 Comunitat Valenciana;2022T3;2.227,6
Total;Ambos sexos;10 Comunitat Valenciana;2022T2;2.199,6
Total;Ambos sexos;10 Comunitat Valenciana;2022T1;2.182,7
Total;Ambos sexos;10 Comunitat Valenciana;2021T4;2.135,2
Total;Ambos sexos;10 Comunitat Valenciana;2021T3;2.100,5
Total;Ambos sexos;10 Comunitat Valenciana;2021T2;2.063,0
Total;Ambos sexos;10 Comunitat Valenciana;2021T1;2.008,3
Total;Ambos sexos;10 Comunitat Valenciana;2020T4;2.033,9
Total;Ambos sexos;10 Comunitat Valenciana;2020T3;2.027,5
Total;Ambos sexos;10 Comunitat Valenciana;2020T2;1.945,7
Total;Ambos sexos;10 Comunitat Valenciana;2020T1;2.074,3
Total;Ambos sexos;10 Comunitat Valenciana;2019T4;2.106,4
Total;Ambos sexos;10 Comunitat Valenciana;2019T3;2.102,9
Total;Ambos sexos;10 Comunitat Valenciana;2019T2;2.086,3
Total;Ambos sexos;10 Comunitat Valenciana;2019T1;2.053,4
Total;Ambos sexos;10 Comunitat Valenciana;2018T4;2.062,7
Total;Ambos sexos;10 Comunitat Valenciana;2018T3;2.059,6
Total;Ambos sexos;10 Comunitat Valenciana;2018T2;2.051,5
Total;Ambos sexos;10 Comunitat Valenciana;2018T1;1.997,7
Total;Ambos sexos;10 Comunitat Valenciana;2017T4;2.035,8
Total;Ambos sexos;10 Comunitat Valenciana;2017T3;2.014,0
Total;Ambos sexos;10 Comunitat Valenciana;2017T2;1.966,6
Total;Ambos sexos;10 Comunitat Valenciana;2017T1;1.944,6
Total;Ambos sexos;10 Comunitat Valenciana;2016T4;1.973,8
Total;Ambos sexos;10 Comunitat Valenciana;2016T3;1.941,2
Total;Ambos sexos;10 Comunitat Valenciana;2016T2;1.919,6
Total;Ambos sexos;10 Comunitat Valenciana;2016T1;1.892,8
Total;Ambos sexos;11 Extremadura;2025T3;437,3
Total;Ambos sexos;11 Extremadura;2025T2;430,9
Total;Ambos sexos;11 Extremadura;2025T1;409,4
Total;Ambos sexos;11 Extremadura;2024T4;417,0
Total;Ambos sexos;11 Extremadura;2024T3;430,6
Total;Ambos sexos;11 Extremadura;2024T2;419,2
Total;Ambos sexos;11 Extremadura;2024T1;405,8
Total;Ambos sexos;11 Extremadura;2023T4;417,8
Total;Ambos sexos;11 Extremadura;2023T3;422,5
Total;Ambos sexos;11 Extremadura;2023T2;416,5
Total;Ambos sexos;11 Extremadura;2023T1;404,2
Total;Ambos sexos;11 Extremadura;2022T4;407,6
Total;Ambos sexos;11 Extremadura;2022T3;420,4
Total;Ambos sexos;11 Extremadura;2022T2;413,7
Total;Ambos sexos;11 Extremadura;2022T1;396,4
Total;Ambos sexos;11 Extremadura;2021T4;397,5
Total;Ambos sexos;11 Extremadura;2021T3;413,6
Total;Ambos sexos;11 Extremadura;2021T2;398,6
Total;Ambos sexos;11 Extremadura;2021T1;370,0
Total;Ambos sexos;11 Extremadura;2020T4;386,4
Total;Ambos sexos;11 Extremadura;2020T3;387,5
Total;Ambos sexos;11 Extremadura;2020T2;371,4
Total;Ambos sexos;11 Extremadura;2020T1;375,9
Total;Ambos sexos;11 Extremadura;2019T4;380,9
Total;Ambos sexos;11 Extremadura;2019T3;400,8
Total;Ambos sexos;11 Extremadura;2019T2;394,9
Total;Ambos sexos;11 Extremadura;2019T1;386,1
Total;Ambos sexos;11 Extremadura;2018T4;381,1
Total;Ambos sexos;11 Extremadura;2018T3;388,4
Total;Ambos sexos;11 Extremadura;2018T2;379,4
Total;Ambos sexos;11 Extremadura;2018T1;366,7
Total;Ambos sexos;11 Extremadura;2017T4;369,3
Total;Ambos sexos;11 Extremadura;2017T3;369,0
Total;Ambos sexos;11 Extremadura;2017T2;371,6
Total;Ambos sexos;11 Extremadura;2017T1;351,4
Total;Ambos sexos;11 Extremadura;2016T4;358,0
